revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
after,writable-hits=50/warm=false/delayed=true/workers=4,3738256.0,4195.0,512.0,2102673.0,69.33,121.3,109.3,1024.0,11459472.0,1334.0,1709.0,32708.0,64.0,512.0,11.44,3238015.0,109.3,0.6559,512.0,1135443.0,40.33
after,writable-hits=50/warm=true/delayed=false/workers=1,2359584.0,3813.0,512.0,0.0,0.0,163.0,0.0,1024.0,11464847.0,1084.0,1625.0,28292.0,64.0,512.0,11.45,0.0,0.0,0.9993,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=false/workers=2,3848725.0,4004.0,512.0,0.0,0.0,205.7,0.0,1024.0,10420528.0,1208.0,4209.0,30166.0,64.0,512.0,10.4,0.0,0.0,0.9873,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=false/workers=4,3516981.0,4026.0,512.0,0.0,0.0,229.0,0.0,1024.0,9442416.0,1208.0,6167.0,34125.0,64.0,512.0,9.425,0.0,0.0,0.8081,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=true/workers=1,2323168.0,3810.0,512.0,0.0,0.0,161.7,0.0,1024.0,10286861.0,1084.0,1542.0,19042.0,64.0,512.0,10.27,0.0,0.0,0.9987,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=true/workers=2,3910213.0,3993.0,512.0,0.0,0.0,203.3,0.0,1024.0,9498569.0,1166.0,2500.0,25791.0,64.0,512.0,9.485,0.0,0.0,0.9919,512.0,0.0,0.0
after,writable-hits=50/warm=true/delayed=true/workers=4,3591938.0,4061.0,512.0,0.0,0.0,229.3,0.0,1024.0,10297958.0,1250.0,5541.0,36333.0,64.0,512.0,10.28,0.0,0.0,0.9568,512.0,0.0,0.0
after,writable-hits=100/warm=false/delayed=false/workers=1,1476970.0,3790.0,0.0,0.0,0.0,130.0,36.0,1024.0,2867195.0,1125.0,1458.0,32708.0,64.0,0.0,2.851,1094051.0,36.0,0.9957,1024.0,1094051.0,36.0
after,writable-hits=100/warm=false/delayed=false/workers=2,1718173.0,4039.0,0.0,0.0,0.0,175.3,63.67,1024.0,2270722.0,1208.0,1750.0,34334.0,64.0,0.0,2.253,1959383.0,63.67,0.9647,1024.0,1959383.0,63.67
after,writable-hits=100/warm=false/delayed=false/workers=4,2065466.0,4402.0,0.0,0.0,0.0,191.7,94.0,1024.0,2166250.0,1208.0,2500.0,37333.0,64.0,0.0,2.145,2857686.0,94.0,0.901,1024.0,2857686.0,94.0
after,writable-hits=100/warm=false/delayed=true/workers=1,1477712.0,3801.0,0.0,0.0,0.0,130.0,36.0,1024.0,4988847.0,1209.0,1584.0,23958.0,64.0,0.0,4.976,1094051.0,36.0,0.9978,1024.0,1094051.0,36.0
after,writable-hits=100/warm=false/delayed=true/workers=2,1718474.0,4043.0,0.0,0.0,0.0,167.3,69.67,1024.0,4201569.0,1125.0,1500.0,20458.0,64.0,0.0,4.192,2141107.0,69.67,0.9796,1024.0,2141107.0,69.67
after,writable-hits=100/warm=false/delayed=true/workers=4,2052480.0,4405.0,0.0,0.0,0.0,151.3,131.7,1024.0,4250181.0,1125.0,1750.0,29542.0,64.0,0.0,4.238,4018099.0,131.7,0.9484,1024.0,4018099.0,131.7
after,writable-hits=100/warm=true/delayed=false/workers=1,1448253.0,3736.0,0.0,0.0,0.0,154.0,0.0,1024.0,821723.0,500.0,750.0,11833.0,64.0,0.0,0.8133,0.0,0.0,0.9899,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=false/workers=2,1664186.0,3947.0,0.0,0.0,0.0,223.7,0.0,1024.0,1031069.0,1083.0,1541.0,17875.0,64.0,0.0,1.022,0.0,0.0,0.93,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=false/workers=4,1956576.0,4228.0,0.0,0.0,0.0,270.7,0.0,1024.0,994319.0,917.0,1709.0,25000.0,64.0,0.0,0.9865,0.0,0.0,0.7987,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=true/workers=1,1442744.0,3733.0,0.0,0.0,0.0,152.7,0.0,1024.0,1271694.0,833.0,1375.0,15792.0,64.0,0.0,1.266,0.0,0.0,0.9928,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=true/workers=2,1668933.0,3949.0,0.0,0.0,0.0,225.0,0.0,1024.0,930403.0,959.0,1708.0,18250.0,64.0,0.0,0.9215,0.0,0.0,0.9286,1024.0,0.0,0.0
after,writable-hits=100/warm=true/delayed=true/workers=4,1983986.0,4254.0,0.0,0.0,0.0,271.7,0.0,1024.0,917347.0,916.0,1833.0,29625.0,64.0,0.0,0.9078,0.0,0.0,0.8092,1024.0,0.0,0.0
